%
%
%2022-07-04 10:13:05.183390%
indice ambiente colector torre
0 21.76 33.05 26.28
1 21.12 33.05 29.18
2 21.44 34.98 29.82
3 21.44 36.27 30.79
4 21.44 33.37 27.89
5 21.76 40.46 30.79
6 21.44 42.08 33.05
7 21.76 42.08 34.34
8 21.76 43.69 35.63
9 22.09 44.33 34.98
10 21.76 42.4 34.66
11 21.76 45.3 35.63
12 22.41 42.72 36.6
13 22.09 47.23 34.02
14 22.09 46.27 36.6
15 22.41 47.56 38.53
16 22.41 47.23 38.53
17 22.41 47.23 34.98
18 22.73 44.66 34.66
19 22.41 44.66 35.31
20 22.41 43.69 38.53
21 22.73 47.56 36.27
22 22.73 46.59 38.21
23 22.73 47.88 38.21
24 23.05 47.23 39.17
25 23.05 48.2 38.85
26 23.38 50.14 38.85
27 23.38 50.46 43.04
28 23.38 51.1 41.75
29 23.38 50.46 41.11
30 23.7 51.1 38.85
31 23.38 49.49 40.14
32 23.7 49.49 38.85
33 23.38 47.88 37.88
34 23.38 44.01 33.05
35 23.05 49.81 33.69
36 23.05 40.14 31.76
37 22.73 40.79 32.73
38 22.73 39.17 31.44
39 22.41 38.53 29.82
40 22.73 38.53 32.4
41 22.73 40.79 31.44
42 23.05 42.72 32.08
43 23.05 40.46 48.85
44 23.05 40.79 34.02
45 23.05 40.46 32.4
46 23.05 43.04 31.11
47 23.38 40.79 34.98
48 23.38 42.72 33.69
49 23.38 40.14 33.69
50 23.38 34.98 36.27
51 23.05 34.02 30.79
52 23.05 34.02 31.11
53 23.05 32.73 28.53
54 22.73 31.11 27.89
55 22.73 28.53 29.5
56 22.73 28.86 27.89
57 23.05 29.82 28.21
58 23.05 29.5 27.57
59 23.05 29.18 25.96
60 23.05 29.18 27.24
61 23.05 28.53 26.6
62 23.05 28.86 26.6
63 23.05 27.89 26.6
64 23.05 28.21 26.28
65 23.05 27.57 25.31
66 22.73 26.92 28.21
67 23.05 26.92 26.28
68 23.05 27.24 26.6
69 23.05 26.92 25.63
70 22.73 26.6 25.96
71 22.73 26.6 24.67
72 22.73 25.31 24.34
73 22.73 25.96 25.63
74 22.41 24.34 24.67
75 22.41 24.99 24.99
