"%2022-06-22 09:48:25.780791"   
indice ambiente colector torre
1 19.83 21.44 24.67
2 19.83 21.76 24.67
3 19.83 21.76 24.67
4 19.51 21.76 25.31
5 19.18 21.76 25.31
6 19.18 22.09 25.63
7 19.18 22.41 25.96
8 19.18 22.41 26.6
9 18.86 22.09 26.28
10 18.86 22.09 26.28
11 19.18 22.73 27.57
12 19.18 22.73 27.89
13 19.51 22.73 28.21
14 19.51 23.38 28.53
15 19.83 23.7 32.4
16 19.83 23.7 29.18
17 18.86 23.7 28.53
18 19.51 23.38 27.57
19 19.83 23.38 27.57
20 19.51 23.38 28.53
21 19.83 23.38 28.53
22 19.83 25.31 30.47
23 20.15 24.34 32.73
24 20.15 25.31 34.34
25 20.47 25.63 34.98
26 20.47 25.96 35.31
27 20.15 25.96 34.34
28 20.15 25.63 34.34
29 20.47 26.28 34.98
30 20.8 26.6 35.95
31 20.8 26.92 35.63
32 20.47 26.28 34.66
33 20.47 25.63 32.73
34 20.15 24.99 31.11
35 19.51 24.34 29.5
36 19.51 23.38 28.86
37 19.51 23.38 27.89
38 20.15 23.38 27.57
39 19.83 23.05 27.57
40 19.51 22.73 25.63
41 19.51 22.73 25.31
42 19.18 22.41 26.28
43 19.51 22.73 26.6
44 19.51 23.05 28.21
45 19.18 23.05 28.53
46 19.18 23.05 28.86
47 19.18 23.05 27.89
48 19.18 22.73 27.57
49 19.51 22.73 26.6
50 19.51 22.41 25.96
51 19.18 22.41 25.96
52 19.51 22.41 26.28
53 19.51 22.09 25.63
54 19.51 22.09 25.96
55 19.83 22.09 26.28
56 19.51 22.09 25.63
57 19.51 22.09 25.96
58 19.83 22.09 25.63
59 19.83 22.09 25.63
60 19.83 22.09 25.96
61 19.83 22.09 24.99
62 19.83 21.76 24.99
63 19.51 21.76 24.34
64 19.51 21.44 24.02
65 19.18 21.44 22.73
66 19.51 21.44 22.73
67 19.51 20.8 22.41
68 19.51 20.8 22.73
69 19.51 20.47 22.73
70 19.83 20.47 22.73
71 19.83 20.8 22.41
72 19.83 20.8 22.41
73 19.51 20.8 22.41
74 19.18 20.8 22.09
75 19.51 20.47 22.09
76 19.18 20.47 22.09
77 18.86 20.47 21.76
78 18.86 20.15 21.76
79 18.86 20.47 21.44
80 18.86 20.15 21.12
81 18.86 20.47 21.76
82 18.86 20.15 22.09
83 18.86 20.47 21.76
84 18.86 20.47 21.44
85 19.18 20.47 21.76
86 18.86 20.47 22.73
87 18.86 20.8 22.73
88 18.86 20.8 22.41
89 19.18 20.47 23.7
90 19.18 21.12 24.34
91 19.18 21.12 23.7
92 19.18 21.44 24.02
93 19.51 21.12 24.02
94 19.51 21.44 24.02
95 19.51 21.44 23.38
96 19.83 22.09 24.67
97 19.51 21.76 24.67
98 19.83 22.09 24.34
99 20.15 22.09 25.31
100 20.15 22.41 25.63
101 20.47 22.09 26.6
102 20.47 22.73 27.24
103 21.12 23.38 28.53
104 21.76 24.34 31.44
105 22.09 25.31 32.08
106 22.41 25.96 32.4
107 22.73 26.28 32.73
108 22.73 26.28 31.76
109 22.73 26.28 31.76
110 22.73 25.96 30.79
111 22.73 25.96 30.15
112 22.41 25.63 29.18
113 22.41 24.67 27.57
114 22.09 24.34 27.57
115 21.76 24.02 27.24
116 21.76 23.38 26.6
117 21.44 23.38 26.28
118 21.44 22.73 25.31
119 21.44 22.73 25.63
120 21.12 22.73 25.96
121 21.44 23.05 26.6
122 21.44 23.05 26.6
123 22.09 23.38 27.57
124 22.09 23.38 28.53
125 22.41 23.7 28.53
126 22.41 24.02 28.53
127 22.41 24.67 29.18
128 22.73 24.67 28.53
129 22.41 24.67 29.82
130 22.73 24.99 29.18
131 22.73 24.67 29.5
132 22.73 24.67 29.5
133 23.05 24.99 30.47
134 23.7 25.31 29.18
135 24.02 25.31 29.5
136 24.34 25.63 30.79
137 24.99 25.96 30.79
138 25.31 26.6 30.79
139 25.31 26.92 31.44
140 25.63 26.92 31.76
141 25.63 27.24 32.4
142 24.34 24.67 29.5
143 23.7 25.63 30.47
144 23.38 25.63 29.82
145 24.67 25.63 29.82
146 24.34 25.63 30.15
147 24.02 25.63 30.47
148 24.99 25.63 30.15
149 24.67 25.63 30.79
150 24.99 25.63 30.47
151 25.63 26.6 31.44
152 26.28 26.92 31.44
153 26.28 26.6 31.11
154 26.6 26.92 31.44
155 25.96 26.92 31.44
156 25.96 26.28 30.79
157 25.63 25.96 30.15
158 24.99 25.96 30.15
159 24.67 25.31 29.18
160 24.02 25.63 29.82
161 23.05 24.67 29.18
162 23.38 25.63 30.15
163 24.02 25.96 31.44
164 24.02 25.31 30.79
165 24.34 25.96 31.44
166 24.34 26.28 30.79
167 23.7 26.92 28.86
168 23.05 25.96 29.82
169 23.38 25.96 29.82
170 23.7 26.92 31.76
171 31.76 35.95 43.69
172 22.41 24.99 30.15
173 22.09 24.99 29.82
174 21.76 24.67 29.82
175 22.09 24.99 29.82
176 22.41 24.99 29.82
177 22.09 24.99 29.5
178 22.41 24.99 30.15
179 23.05 24.99 28.21
180 22.73 25.31 30.15
181 22.73 25.63 30.15
182 22.41 24.99 29.5
183 22.09 24.67 29.82
184 22.41 24.67 28.86
185 22.09 24.99 28.53
186 21.76 24.34 27.89
187 21.12 24.02 27.24
188 21.44 24.34 28.21
189 22.09 24.02 28.86
190 22.41 24.67 28.53
191 22.09 24.34 28.21
192 21.76 24.02 28.21
193 21.76 24.02 27.89
194 21.76 24.02 28.21
195 21.76 24.02 28.21
196 21.76 23.7 27.89
197 21.76 23.7 28.21
198 21.76 23.7 28.21
199 21.76 23.7 27.89
200 21.76 23.7 27.89
201 21.76 23.7 28.53
202 22.09 24.02 27.57
203 22.09 24.02 27.57
204 22.09 23.7 27.89
205 22.09 24.02 28.21
206 22.09 24.02 28.53
207 22.09 24.02 28.86
208 22.09 24.34 28.86
209 22.41 24.02 28.86
210 22.09 24.34 27.89
211 21.44 23.7 27.57
212 21.44 23.7 26.92
213 21.44 23.7 26.28
214 21.44 23.7 27.24
215 21.44 23.05 26.92
216 21.44 23.05 26.6
217 21.44 23.05 26.6
218 20.8 23.05 25.96
219 21.12 23.05 24.67
220 21.12 22.73 25.63
221 20.47 22.41 25.31
222 20.8 22.41 25.63
223 20.8 22.41 25.96
224 21.12 22.41 25.96
225 21.44 22.73 26.28
226 21.44 23.05 26.6
227 21.44 23.38 27.24
228 21.44 23.38 27.57
229 21.76 24.02 26.92
230 21.76 24.02 28.53
231 21.44 23.7 28.21
232 21.76 24.02 27.89
233 21.76 24.02 26.6
234 21.76 23.7 27.57
235 21.76 23.7 27.57
236 21.44 23.7 27.57
237 21.76 23.38 26.92
238 21.76 23.7 28.21
239 21.76 23.38 27.89
240 21.76 23.7 27.89
241 22.09 23.7 28.21
242 21.76 23.7 27.89
243 21.76 23.7 27.57
244 21.76 23.38 26.28
245 21.44 23.05 27.24
246 21.12 23.05 25.63
247 21.12 22.73 25.96
248 20.8 22.41 25.31
249 20.47 22.09 24.99
