%
%
%2022-06-23 08:29:19.581285%
minuto ambiente colector torre

0 15.96 17.57 18.54
1 15.64 17.57 18.54
2 16.6 17.57 14.35
3 15.96 16.6 16.6
4 15.96 18.22 19.83
5 15.64 17.57 18.54
6 15.96 20.47 21.76
7 15.64 18.22 20.15
8 15.96 17.25 21.12
9 15.32 17.25 21.12
10 16.28 17.89 22.09
11 15.96 18.86 22.73
12 15.32 19.18 22.09
13 16.28 18.54 23.05
14 16.28 19.51 22.41
15 16.28 18.86 22.73
16 16.6 18.86 22.41
17 16.6 19.51 23.05
18 16.28 19.18 22.73
19 15.64 19.51 23.38
20 16.28 19.83 24.34
21 16.28 20.8 23.05
22 16.28 20.15 24.67
23 16.28 20.47 21.44
24 16.6 21.12 24.67
25 16.6 20.47 24.34
26 16.93 20.8 24.34
27 16.93 21.12 23.38
28 16.6 20.8 23.05
29 16.28 21.44 25.31
30 16.93 21.12 23.38
31 16.93 19.51 24.02
32 16.6 21.44 22.73
33 16.6 20.47 23.7
34 16.6 20.8 24.34
35 16.93 20.47 24.34
36 16.93 19.83 23.05
37 16.93 20.47 24.99
38 16.6 21.12 25.63
39 16.93 21.12 25.63
40 16.93 21.44 24.34
41 16.93 21.12 24.34
42 16.93 19.83 25.31
43 16.93 19.51 24.67
44 16.28 19.83 25.31
45 16.93 21.44 20.15
46 16.93 20.8 24.02
47 16.93 21.44 25.96
48 16.93 21.12 26.6
49 17.57 22.09 24.67
50 17.25 21.12 23.05
51 17.25 22.09 26.6
52 17.25 22.09 26.92
53 17.25 22.09 28.53
54 16.93 21.12 28.53
55 17.25 22.73 28.21
56 17.25 23.05 28.86
57 17.25 22.09 28.21
58 17.57 23.7 29.18
59 17.57 22.73 26.92
60 17.25 22.73 30.15
61 17.89 23.38 31.44
62 17.57 24.34 29.5
63 17.89 24.99 32.08
64 17.57 24.67 31.76
65 17.57 24.67 32.08
66 17.89 24.34 31.44
67 17.89 23.38 32.73
68 17.89 24.34 31.11
69 18.22 25.31 32.08
70 18.54 24.99 31.11
71 18.22 25.31 33.05
72 17.57 26.28 32.4
73 18.86 26.6 31.11
74 18.22 24.99 32.73
75 18.22 25.31 33.69
76 17.89 26.6 34.34
77 18.54 26.28 34.34
78 18.54 26.28 33.69
79 18.54 26.28 34.02
80 18.22 25.96 33.37
81 18.22 25.96 33.69
82 18.22 26.6 35.95
83 18.54 25.96 31.11
84 18.86 26.92 31.44
85 18.86 26.92 34.34
86 18.86 26.28 36.92
87 18.86 26.92 34.66
88 18.54 26.92 33.37
89 18.54 26.92 34.98
90 18.22 27.89 34.02
91 18.54 26.28 34.34
92 18.86 26.92 34.34
93 18.54 26.28 32.73
94 18.54 24.67 34.02
95 18.86 25.96 34.98
96 18.86 26.28 34.98
97 18.86 25.96 33.69
98 19.51 26.6 35.63
99 18.86 26.6 35.95
100 18.86 27.89 35.63
101 18.86 27.24 35.63
102 19.18 26.6 34.98
103 18.86 26.28 33.69
104 18.86 27.57 34.34
105 18.86 26.92 35.63
106 19.18 26.92 36.27
107 19.18 26.92 36.92
108 19.51 27.89 37.88
109 19.18 25.96 37.24
110 19.51 26.28 37.24
111 19.51 29.18 36.27
112 19.18 26.28 35.95
113 19.51 29.18 37.24
114 19.51 28.53 38.53
115 19.18 27.57 38.85
116 19.51 27.89 35.31
117 19.83 28.53 35.95
118 18.86 28.21 37.24
119 19.18 27.57 37.24
120 19.18 25.96 36.27
121 18.86 27.89 38.53
122 19.51 25.96 37.56
123 19.18 27.24 38.53
124 19.18 29.18 35.63
125 19.51 27.57 39.82
126 19.83 29.18 39.17
127 20.15 28.21 40.46
128 19.18 28.21 41.43
129 19.83 28.21 39.82
130 20.15 27.24 40.14
131 19.83 28.86 40.79
132 20.15 29.5 42.08
133 19.83 29.82 40.79
134 20.15 29.82 42.72
135 20.15 28.53 43.37
136 20.15 30.79 43.04
137 20.15 30.15 43.04
138 20.15 31.11 44.01
139 20.47 31.76 45.62
140 20.8 31.11 45.62
141 21.12 30.47 45.3
142 20.15 32.4 46.27
143 20.47 32.4 45.95
144 19.83 33.05 44.33
145 20.8 32.4 47.23
146 24.67 42.08 55.62
147 22.09 34.02 48.2
148 22.41 34.66 51.75
149 21.44 35.95 49.81
150 21.44 35.63 50.46
151 21.44 34.66 50.46
152 21.76 35.31 50.46
153 21.76 35.95 51.1
154 22.09 34.98 51.75
155 22.09 35.31 51.75
156 22.41 35.63 51.1
157 22.41 35.95 51.43
158 23.05 36.92 51.43
159 22.09 36.27 51.1
160 22.09 36.27 53.36
161 22.09 36.27 53.36
162 22.73 36.6 53.68
163 22.41 36.6 54.01
164 22.09 36.27 53.04
165 22.41 36.92 55.3
166 22.09 36.6 53.36
167 22.09 36.6 54.65
168 23.05 36.92 54.01
169 22.41 38.53 53.04
170 22.09 35.63 54.01
171 22.73 35.31 55.94
172 21.76 36.6 52.39
173 22.09 36.92 54.33
174 23.05 38.21 52.07
175 22.41 35.63 51.43
176 22.41 37.56 51.43
177 22.09 37.24 50.78
178 22.09 37.24 50.14
179 22.41 37.24 49.81
180 22.41 37.56 50.14
181 22.73 37.88 51.43
182 22.73 38.21 52.07
183 22.73 37.24 51.1
184 22.73 37.88 51.43
185 22.73 38.53 51.75
186 22.73 37.56 51.43
187 21.76 34.98 51.75
188 23.7 36.6 51.75
189 23.05 36.27 50.78
190 23.05 36.27 50.78
191 23.05 37.88 53.68
192 22.73 38.21 54.65
193 23.38 37.88 53.36
194 23.38 38.53 52.72
195 23.38 38.21 53.68
196 22.41 37.88 52.39
197 23.05 38.21 51.1
198 23.38 38.21 48.85
199 23.7 38.21 47.56
200 23.38 38.53 46.91
201 23.05 39.17 45.95
202 24.02 38.53 43.69
203 22.73 38.21 43.04
204 23.38 38.21 44.66
205 23.7 39.5 46.59
206 24.02 39.17 44.66
207 23.7 39.5 44.33
208 23.7 38.85 44.01
209 23.7 37.88 42.08
210 23.7 38.21 41.75
211 24.02 38.53 41.75
212 23.7 37.56 40.79
213 24.02 37.88 40.79
214 24.02 38.21 40.46
215 24.02 38.53 40.46
216 24.34 38.53 39.82
217 24.34 38.85 40.14
218 24.34 39.17 40.14
219 24.34 39.5 40.46
220 23.7 38.53 39.5
221 24.34 39.17 39.17
222 24.02 38.21 39.17
223 24.02 37.88 38.21
224 24.02 37.88 38.21
225 24.34 37.88 37.88
226 24.02 37.88 37.88
227 24.34 38.21 37.88
228 24.34 37.88 36.6
229 24.67 37.88 37.88
230 24.67 37.88 37.56
231 24.67 38.21 37.88
232 24.99 38.53 37.88
233 24.99 38.53 36.6
234 24.67 38.85 37.88
235 24.99 38.53 37.88
236 24.99 38.53 37.88
237 24.99 38.21 38.21
238 25.31 38.85 37.88
239 25.31 38.21 37.88
240 25.31 38.53 37.24
241 25.31 38.21 38.21
242 25.31 38.21 37.56
243 25.31 38.21 37.24
244 25.63 37.88 37.24
245 26.28 37.88 36.92
246 25.63 38.21 37.56
247 25.63 38.21 37.24
248 25.63 37.24 36.6
249 25.31 36.92 36.6
250 25.31 35.95 36.27
251 25.63 35.63 35.95
252 25.31 34.98 35.63
253 25.31 34.98 36.27
254 24.99 34.98 35.95
255 24.99 34.66 35.31
256 24.99 34.34 34.66
257 25.31 33.69 35.31
258 25.31 33.37 35.31
259 25.31 33.37 35.63
260 25.96 33.37 35.31
261 25.96 33.37 34.66
262 25.96 32.4 35.31
263 25.63 33.37 35.95
264 25.63 33.37 35.95
265 25.63 33.37 36.27
266 25.31 32.4 35.31
267 24.99 32.08 35.63
268 25.63 32.08 35.63
269 25.31 31.76 35.63
270 25.31 31.76 35.31
271 25.31 31.11 34.98
272 25.31 31.11 34.66
273 24.99 31.11 34.34
274 24.99 31.11 34.66
275 25.31 29.82 34.98
276 24.99 31.11 34.02
277 24.99 31.11 34.34
278 25.31 30.47 33.37
279 24.67 30.79 33.05
280 24.67 30.47 33.37
281 24.99 30.15 33.69
282 24.99 30.15 33.37
283 24.67 29.82 32.73
284 24.99 30.47 33.05
285 24.99 29.82 33.37
286 24.99 30.15 33.69
287 24.99 30.47 33.05
288 24.99 29.5 32.4
289 24.67 29.5 32.4
290 24.34 29.5 32.73
291 24.34 29.18 32.4
292 24.67 29.18 32.73
293 24.99 29.18 33.05
294 25.31 29.82 33.69
295 25.31 30.15 33.69
296 24.99 30.15 34.02
297 24.99 30.47 32.73
298 25.31 30.47 33.69
299 25.31 30.47 34.02%
%
%2022-06-23 13:29:37.413546%
